Nom_Prov,Nom_Dpto,Nom_Local,Media_Af,Media_VulSanit,Max_VulSanit,Max_Af,Rad_Extremo
C.A.B.A.,Comuna 01,COMUNA 1,0.0859,0.2593,0.8793,0.2804,FALSE
C.A.B.A.,Comuna 02,COMUNA 2,0.0747,0.0643,0.8090,0.1635,FALSE
C.A.B.A.,Comuna 03,COMUNA 3,0.0845,0.1579,0.6838,0.3929,TRUE
C.A.B.A.,Comuna 04,COMUNA 4,0.0639,0.3139,0.9705,0.1071,FALSE
C.A.B.A.,Comuna 05,COMUNA 5,0.0627,0.1233,0.4338,0.0902,FALSE
C.A.B.A.,Comuna 06,COMUNA 6,0.0604,0.1476,0.2768,0.1038,FALSE
C.A.B.A.,Comuna 07,COMUNA 7,0.0469,0.3037,0.7972,0.0595,FALSE
C.A.B.A.,Comuna 08,COMUNA 8,0.0493,0.5124,0.8280,0.0824,FALSE
C.A.B.A.,Comuna 09,COMUNA 9,0.0441,0.3367,0.6932,0.0676,FALSE
C.A.B.A.,Comuna 10,COMUNA 10,0.0454,0.2508,0.4414,0.0595,FALSE
C.A.B.A.,Comuna 11,COMUNA 11,0.0485,0.1962,0.3423,0.0600,FALSE
C.A.B.A.,Comuna 12,COMUNA 12,0.0504,0.2289,0.5195,0.0647,FALSE
C.A.B.A.,Comuna 13,COMUNA 13,0.0627,0.1967,0.4594,0.1763,FALSE
C.A.B.A.,Comuna 14,COMUNA 14,0.0723,0.1023,0.3662,0.1150,FALSE
C.A.B.A.,Comuna 15,COMUNA 15,0.0581,0.2094,0.5804,0.1053,FALSE
Buenos Aires,Adolfo Alsina,MAZA,0.0228,0.5882,0.6035,0.0228,FALSE
Buenos Aires,Adolfo Alsina,LA PALA,0.0228,0.6748,0.6748,0.0228,FALSE
Buenos Aires,Adolfo Alsina,ZONA RURAL,0.0174,0.6593,0.9071,0.0344,FALSE
Buenos Aires,Adolfo Alsina,YUTUYACO,0.0105,0.8726,0.8726,0.0105,FALSE
Buenos Aires,Adolfo Alsina,RIVERA,0.0105,0.2924,0.4512,0.0105,FALSE
Buenos Aires,Adolfo Alsina,DELFIN HUERGO,0.0105,0.6460,0.6460,0.0105,FALSE
Buenos Aires,Adolfo Alsina,ESTEBAN AGUSTIN GASCON,0.0116,0.6921,0.6921,0.0116,FALSE
Buenos Aires,Adolfo Alsina,CNIA. SAN MIGUEL ARCANGEL,0.0116,0.7449,0.7511,0.0116,FALSE
Buenos Aires,Adolfo Alsina,CARHUE,0.0181,0.2218,0.5792,0.0181,FALSE
Buenos Aires,Adolfo Alsina,ESPARTILLAR,0.0223,0.4486,0.4486,0.0223,FALSE
Buenos Aires,Adolfo Gonzáles Chaves,ZONA RURAL,0.0162,0.6849,0.8745,0.0631,FALSE
Buenos Aires,Adolfo Gonzáles Chaves,JUAN E. BARRA,0.0121,0.7360,0.7360,0.0121,FALSE
Buenos Aires,Adolfo Gonzáles Chaves,DE LA GARMA,0.0121,0.1634,0.1983,0.0121,FALSE
Buenos Aires,Adolfo Gonzáles Chaves,ADOLFO GONZALES CHAVES,0.0068,0.2727,0.6062,0.0068,FALSE
